Period_unique,Cam,Period,Duration_sec,start_datetime,end_datetime,year,mast,logged
AG27.16.1,AG27,1,0,7/22/2016 10:46,7/22/2016 10:46,2016,0,1
AG27.18.1,AG27,1,4322400,6/26/2018 9:31,8/15/2018 10:11,2018,0,1
AG27.19.1,AG27,1,3376140,5/31/2019 11:21,7/9/2019 13:10,2019,1,1
AG27.19.2,AG27,2,318480,7/14/2019 16:02,7/18/2019 8:30,2019,1,1
AG27.19.3,AG27,3,1381320,7/28/2019 8:37,8/13/2019 8:19,2019,1,1
AG27.20.1,AG27,1,3538500,7/28/2020 10:41,9/7/2020 9:36,2020,0,1
AG28.13.1,AG28,1,5182080,6/25/2013 11:30,8/24/2013 10:58,2013,0,1
AG28.14.1,AG28,1,8032080,6/3/2014 11:30,9/4/2014 10:38,2014,1,1
AG28.15.1,AG28,1,7854300,6/15/2015 12:00,9/14/2015 9:45,2015,1,1
AG28.16.1,AG28,1,1029600,5/9/2016 10:30,5/21/2016 8:30,2016,0,1
AG28.18.1,AG28,1,2588400,6/29/2018 9:30,7/29/2018 8:30,2018,0,1
AG28.18.2,AG28,2,169860,8/2/2018 9:19,8/4/2018 8:30,2018,0,1
AG28.19.1,AG28,1,342840,5/30/2019 9:16,6/3/2019 8:30,2019,1,1
AG28.19.2,AG28,2,575520,6/15/2019 10:14,6/22/2019 2:06,2019,1,1
AG28.19.3,AG28,3,1551480,6/30/2019 9:02,7/18/2019 8:00,2019,1,1
AG28.19.4,AG28,4,1291200,7/28/2019 16:25,8/12/2019 15:05,2019,1,1
AG28.20.1,AG28,1,2750760,7/28/2020 12:24,8/29/2020 8:30,2020,0,1
AG29.13.1,AG29,1,5182200,6/25/2013 12:43,8/24/2013 12:13,2013,0,1
AG29.14.1,AG29,1,6494820,6/30/2014 12:00,9/13/2014 16:07,2014,1,1
AG29.15.1,AG29,1,7858200,6/15/2015 9:40,9/14/2015 8:30,2015,1,1
AG29.16.1,AG29,1,3714120,5/9/2016 9:00,6/21/2016 8:42,2016,0,1
AG29.16.2,AG29,2,77400,7/16/2016 11:00,7/17/2016 8:30,2016,0,1
AG29.18.1,AG29,1,7512960,6/29/2018 10:34,9/24/2018 9:30,2018,0,1
AG29.19.1,AG29,1,0,5/30/2019 10:24,5/30/2019 10:24,2019,1,1
AG29.19.2,AG29,2,0,6/15/2019 9:11,6/15/2019 9:11,2019,1,1
AG29.19.3,AG29,3,3648840,7/1/2019 8:58,8/12/2019 14:32,2019,1,1
